date,temperature,humidity,uv,lux,cpm,aqi,apl
21:22:25.273524,22.1,34.7,0,471.2,16,68,0
21:22:26.419794,22.1,34.7,0,500.79999999999995,16,68,0
21:22:32.342773,22.1,34.7,0,437.59999999999997,13,68,0
21:22:33.611128,22.1,34.7,1,435.2,13,68,0
21:22:35.014813,22.1,34.7,0,436.0,14,68,0
21:22:36.158947,22.1,34.7,0,434.40000000000003,14,68,0
21:22:37.604532,22.1,34.7,0,436.0,14,68,0
21:22:38.748578,22.1,34.7,1,434.40000000000003,14,68,0
21:22:40.147533,22.1,34.7,0,435.2,14,68,0
21:22:41.290396,22.1,34.7,0,436.79999999999995,14,67,0
21:22:42.695445,22.1,34.7,0,436.0,15,68,0
21:22:43.843772,22.1,34.7,0,436.0,15,67,0
21:22:45.248506,22.1,34.8,0,434.40000000000003,17,68,0
21:22:46.395578,22.1,34.8,0,436.79999999999995,17,67,0
21:22:47.809218,22.1,34.8,0,436.79999999999995,17,67,0
21:22:48.956173,22.1,34.8,0,500.79999999999995,16,67,0
21:22:50.367336,22.1,34.8,0,500.0,15,67,0
21:22:51.583728,22.1,34.8,0,492.79999999999995,16,67,0
21:22:52.990968,22.1,34.8,0,492.79999999999995,15,67,0
21:22:54.144451,22.1,34.8,0,488.79999999999995,14,67,0
21:22:55.577742,22.1,34.9,0,490.40000000000003,14,67,0
21:22:56.719498,22.1,34.9,0,496.79999999999995,13,68,0
21:23:02.640479,22.1,35.0,0,488.0,15,68,0
21:23:03.786734,22.1,35.0,0,485.59999999999997,15,67,0
21:23:07.559595,22.1,35.2,0,484.79999999999995,16,68,0
21:23:08.708885,22.1,35.2,0,485.59999999999997,16,68,0
21:23:12.555546,22.1,35.3,0,486.40000000000003,13,68,0
21:23:13.706082,22.1,35.3,0,487.2,13,68,0
21:23:17.548815,22.2,35.4,1,483.2,12,68,0
21:23:18.697799,22.2,35.4,1,482.40000000000003,11,67,0
21:23:20.102926,22.2,35.4,0,484.0,11,68,0
21:23:21.253225,22.2,35.4,0,487.2,12,68,0
21:23:27.183654,22.2,35.2,0,468.79999999999995,14,68,0
21:23:28.331654,22.2,35.2,0,450.40000000000003,15,68,0
21:23:32.005588,22.2,35.2,0,470.40000000000003,17,68,0
21:23:33.155597,22.2,35.2,0,466.40000000000003,17,67,0
21:23:34.561080,22.2,35.0,0,433.59999999999997,16,68,0
21:23:35.708325,22.2,35.0,0,432.0,16,68,0
21:23:39.516080,22.2,34.9,1,426.40000000000003,16,69,0
21:23:40.657476,22.2,34.9,1,416.79999999999995,16,68,0
21:23:42.056247,22.2,34.8,0,421.59999999999997,15,68,0
21:23:43.198831,22.2,34.8,0,427.2,15,68,0
21:23:44.598428,22.2,34.7,0,421.59999999999997,13,68,0
21:23:45.740932,22.2,34.7,0,425.59999999999997,13,69,0
21:23:47.141042,22.2,34.9,1,398.40000000000003,13,68,0
21:23:48.285809,22.2,34.9,0,428.0,13,68,0
21:23:49.687568,22.2,35.0,0,432.0,14,68,0
21:23:50.833202,22.2,35.0,0,438.40000000000003,13,69,0
21:23:52.237217,22.2,34.9,0,450.40000000000003,14,69,0
21:23:53.496482,22.2,34.9,0,443.2,15,69,0
21:23:54.908272,22.2,35.0,1,238.39999999999998,16,69,0
21:23:56.057499,22.2,35.0,1,289.59999999999997,16,69,0
21:23:57.491606,22.2,35.7,1,234.39999999999998,16,70,0
21:23:58.632999,22.2,35.7,1,172.0,16,70,0
21:24:00.033345,22.2,36.4,0,111.19999999999999,16,70,0
21:24:01.180699,22.2,36.4,1,236.0,16,70,0
21:24:02.598114,22.3,37.2,0,515.1999999999999,15,69,0
21:24:03.793213,22.3,37.2,0,506.40000000000003,16,69,0
21:24:05.207357,22.3,37.4,0,576.0,16,69,0
21:24:06.481450,22.3,37.4,0,585.6,17,70,0
21:24:10.163798,22.3,37.0,0,427.2,17,72,0
21:24:11.476181,22.3,37.0,1,429.59999999999997,18,72,0
21:24:12.872173,22.3,37.2,1,461.59999999999997,18,72,0
21:24:14.014742,22.3,37.2,1,427.2,18,73,0
21:24:15.473410,22.3,36.7,1,464.0,18,73,0
21:24:16.618024,22.3,36.7,0,462.40000000000003,19,73,0
21:24:18.017058,22.3,36.4,1,445.59999999999997,19,73,0
21:24:19.159698,22.3,36.4,1,445.59999999999997,19,73,0
21:24:20.570971,22.3,36.1,1,444.0,18,74,0
21:24:21.717705,22.3,36.1,1,449.59999999999997,18,73,0
21:24:25.461706,22.3,35.7,1,448.79999999999995,20,72,0
21:24:26.610586,22.3,35.7,0,449.59999999999997,20,72,0
21:24:28.022537,22.3,35.5,1,457.59999999999997,20,72,0
21:24:29.177109,22.3,35.5,0,452.79999999999995,20,70,0
21:24:32.856901,22.4,35.0,0,456.0,22,70,0
21:24:34.000493,22.4,35.0,1,456.0,22,70,0
21:24:46.724745,22.4,34.7,0,493.59999999999997,28,69,0
21:24:47.867668,22.4,34.7,0,492.0,28,69,0
21:24:53.792705,22.5,34.8,0,475.2,28,69,0
21:24:54.940797,22.5,34.8,0,470.40000000000003,27,69,0
21:25:00.881777,22.5,34.6,0,470.40000000000003,28,69,0
21:25:02.031628,22.5,34.6,0,464.79999999999995,28,69,0
21:25:03.435280,22.5,34.6,0,476.79999999999995,27,69,0
21:25:04.580327,22.5,34.6,0,469.59999999999997,28,69,0
21:25:05.979689,22.5,34.5,0,472.0,27,69,0
21:25:07.123553,22.5,34.5,1,472.79999999999995,29,69,0
21:25:08.522387,22.5,34.5,1,472.79999999999995,29,69,0
21:25:09.667479,22.5,34.5,0,474.40000000000003,29,69,0
21:25:13.416321,22.5,34.5,0,484.79999999999995,28,69,0
21:25:14.560854,22.5,34.5,0,480.79999999999995,27,69,0
